id,category,sub_category,criteria_term,response_term,mth_name,created_at,updated_at
60,find_page,staff_text,general,staffdirectory,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
70,find_page,staff_text,DealerFire,staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
72,find_page,staff_text,DealerFire,meetthestaff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
77,find_page,staff_text,general,meetourteam,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
2,find_page,staff_href,Dealer Inspire,/about-us/staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
4,find_page,staff_href,general,/corporate-team,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
6,find_page,staff_href,Cobalt,/ourstaff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
11,find_page,staff_href,Cobalt,/meetourdepartments,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
12,find_page,staff_href,Cobalt,/meetourstaff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
13,find_page,staff_href,Cobalt,/meet-our-staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
14,find_page,staff_href,Cobalt,/staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
15,find_page,staff_href,Dealer Inspire,/team,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
16,find_page,staff_href,Dealer Inspire,/staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
20,find_page,staff_href,DealerOn,/staff.aspx,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
21,find_page,staff_href,Dealer.com,/staff.aspx,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
22,find_page,staff_href,DEALER eProcess,/meet-our-staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
28,find_page,staff_href,general,/all-staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
30,find_page,staff_href,Cobalt,/ourteam,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
31,find_page,staff_href,general,/dealership-contacts,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
32,find_page,staff_href,general,/meet-our-staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
33,find_page,staff_href,general,/meet-our-team,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
34,find_page,staff_href,general,/meet-the-staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
35,find_page,staff_href,general,/meet_our_staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
36,find_page,staff_href,general,/meetourdepartments,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
37,find_page,staff_href,general,/meetourstaff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
38,find_page,staff_href,general,/meetthestaff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
39,find_page,staff_href,general,/ourstaff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
40,find_page,staff_href,general,/sales-staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
42,find_page,staff_href,general,/staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
43,find_page,staff_href,general,/staff-sales,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
