act_name,city,state
Marina del Rey Toyota,Marina del Rey,CA
Fletcher Jones Honda,Chicago,IL
Ed Morse Delray Cadillac,Delray Beach,FL
Herb Chambers Toyota Scion of Boston,Boston,MA
Hendrick Acura,Charlotte,NC
Chapman Ford LLC,Scottsdale,AZ
Toyota of Santa Barbara,Goleta,CA
Fred Anderson Nissan of Asheville,Asheville,NC
Larry H. Miller Hyundai Peoria,Peoria,AZ
San Leandro Honda,San Leandro,CA
Toyota of Union City,Union City,GA
Delray Buick GMC,Delray Beach,FL
Phil Long Mercedes Benz LLC,Colorado Springs,CO
Holman Infiniti,Maple Shade,NJ
"San Tan Hyundai, Inc.",Gilbert,AZ
Toyota Of Cleveland,McDonald,TN
Mullinax Ford of Osceola County,Kississmee,FL
Cardinale Mazda-Volkswagen-HarleyDavidson,Salinas,CA
Ray Catena Porsche,Edison,NJ
Larry H. Miller Chrysler Jeep Tucson,Tucson,AZ
East Tennessee Dodge,Crossville,TN
Fitzgerald Auto Mall - Annapolis,Annapolis,MD
Hendrick Kia of Cary,Cary,NC
Merollis Chevrolet,Eastpointe,MI
Airport Marina Honda,Los Angeles,CA
Garber Chevrolet,Midland,MI
Barbour Hendrick Honda Greenville,Greenville,NC
Fred Anderson Nissan of Fayetteville,Fayetteville,NC
"Gordon Chevrolet, Inc.",Orange Park,FL
Bob Moore Infiniti,Oklahoma City,OK
Lexus Rivercenter,Covington,KY
Hendrick Chrysler Jeep,Fayetteville,NC
Mall of Georgia Mazda,Buford,GA
Honda of Annapolis,Annapolis,MD
Hendrick Honda Daytona,Daytona Beach,FL
Frank Boucher Chrysler Dodge Jeep VW,Janesville,WI
RiverTown Honda,Grandville,MI
BMW of Schererville,Schererville,IN
Red McCombs Hyundai,San Antonio,TX
Audi Northlake,Charlotte,NC
Cobb County Kia,Kennesaw,GA
Gillman Subaru North,Houston,TX
Ocean Honda of Ventura,Ventura,CA
Ed Morse Bayview Cadillac,Fort Lauderdale,FL
Al Serra Chevrolet VW - North,Colorado Springs,CO
Bob Moore Nissan,Norman,OK
Larry H. Miller Used Car Supermarket Sandy,Sandy,UT
Honda of Slidell,Slidell,LA
BMAG Luxury 1,Oklahoma City,OK
Courtesy CDJR of Orange County,San Juan Capistrano,CA
Acura of Concord,Concord,CA
Volkswagen of Downtown LA,Los Angeles,CA
Porsche of Fremont,Fremont,CA
Serra Chevrolet - Bartlett,Bartlett,TN
Folsom Lake CDJR,Folsom,CA
Hendrick Dodge,Cary,NC
Front Range Honda,Colorado Springs,CO
